index,name,position,active_from,active_to,college,college_start_year,college_end_year,url,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,draft_pick,draft_team,draft_year,C-G,C-MP,C-FG,C-FGA,C-3P,C-3PA,C-FT,C-FTA,C-ORB,C-TRB,C-AST,C-STL,C-BLK,C-TOV,C-PF,C-PTS,C-FG%,C-3P%,C-FT%
868,Pablo Prigioni,G,2013,2016,,,,https://www.basketball-reference.com/players/p/prigipa01.html,270,51,16.9,1.2,2.9,.425,0.8,2.0,.379,0.5,0.9,.522,.554,0.3,0.3,.872,0.5,1.3,1.9,2.8,1.0,0.0,1.0,1.6,3.5,Undrafted,Undrafted,Undrafted,,,,,,,,,,,,,,,,,,,
869,Joshua Primo,G,2022,2022,Alabama,2020-21,,https://www.basketball-reference.com/players/p/primojo01.html,50,16,19.3,2.0,5.4,.374,0.8,2.7,.307,1.2,2.7,.444,.452,0.9,1.2,.746,0.6,1.6,2.3,1.6,0.4,0.5,1.1,1.6,5.8,"1st round (12th pick, 12th overall)",San Antonio Spurs,2021 NBA Draft,30,22.5,84,195,43,113,33,44,31,3.4,0.8,17,9,41,50,8.1,.431,.381,.750
870,Taurean Prince,F,2017,2022,Baylor,2012-13,2015-16,https://www.basketball-reference.com/players/p/princta02.html,370,218,24.2,3.7,8.9,.416,1.7,4.6,.371,2.0,4.4,.463,.511,1.4,1.7,.815,0.5,3.4,3.9,1.7,0.8,0.4,1.6,2.0,10.5,"1st round (12th pick, 12th overall)",Utah Jazz,2016 NBA Draft,129,20.2,468,1017,130,346,255,355,202,4.2,1.1,121,63,221,271,10.2,.460,.376,.718
871,Payton Pritchard,G,2021,2022,Oregon,2016-17,2019-20,https://www.basketball-reference.com/players/p/pritcpa01.html,137,6,16.6,2.5,5.8,.435,1.5,3.6,.412,1.0,2.2,.473,.563,0.4,0.5,.924,0.5,1.7,2.1,1.9,0.5,0.1,0.7,1.2,6.9,"1st round (26th pick, 26th overall)",Boston Celtics,2020 NBA Draft,144,33.7,657,1504,288,759,336,420,95,3.8,4.6,211,7,292,321,13.5,.437,.379,.800
872,Jacob Pullen,G,2018,2018,Kansas State,2009-10,2010-11,https://www.basketball-reference.com/players/p/pulleja01.html,3,0,2.0,0.3,0.7,.500,0.0,0.3,.000,0.3,0.3,1.000,.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.7,Undrafted,Undrafted,Undrafted,68,32.1,392,928,184,472,373,467,36,2.7,3.5,116,6,188,144,19.7,.422,.390,.799
873,Rodney Purvis,G,2018,2018,UConn,2012-13,2016-17,https://www.basketball-reference.com/players/p/purviro01.html,16,2,18.1,2.2,6.7,.327,0.8,3.3,.250,1.4,3.4,.400,.388,0.8,0.9,.867,0.1,1.6,1.7,1.1,0.2,0.2,0.6,1.6,6.0,Undrafted,Undrafted,Undrafted,137,29.9,568,1367,231,636,226,354,62,3.0,1.8,113,19,227,265,11.6,.416,.363,.638
874,Zhou Qi,F-C,2018,2019,,,,https://www.basketball-reference.com/players/q/qizh01.html,19,0,6.6,0.4,1.7,.212,0.1,1.0,.105,0.3,0.7,.357,.242,0.4,0.6,.667,0.3,0.8,1.2,0.1,0.1,0.7,0.5,0.7,1.3,"2nd round (13th pick, 43rd overall)",Houston Rockets,2016 NBA Draft,,,,,,,,,,,,,,,,,,,
875,Tim Quarterman,G,2017,2018,LSU,2013-14,2015-16,https://www.basketball-reference.com/players/q/quartti01.html,19,0,4.9,0.7,1.7,.438,0.3,0.8,.333,0.5,0.9,.529,.516,0.1,0.3,.400,0.2,0.7,0.9,0.6,0.1,0.2,0.7,0.4,1.8,Undrafted,Undrafted,Undrafted,99,24.9,271,683,98,316,190,288,120,3.9,3.1,103,40,168,214,8.4,.397,.310,.660
876,Trevelin Queen,G,2022,2022,"College of Marin, New Mexico Military Institute, New Mexico State",2018-19,2019-20,https://www.basketball-reference.com/players/q/queentr01.html,10,0,7.4,1.5,3.3,.455,0.9,2.4,.375,0.6,0.9,.667,.591,0.4,0.4,1.000,0.7,0.9,1.6,0.4,0.5,0.1,0.7,0.6,4.3,Undrafted,Undrafted,Undrafted,51,21.5,203,430,81,217,51,69,84,4.1,2.1,70,26,66,94,10.5,.472,.373,.739
877,Neemias Queta,C,2022,2022,Utah State University,2018-19,2020-21,https://www.basketball-reference.com/players/q/quetane01.html,14,0,8.6,1.2,2.7,.447,0.0,0.0,,1.2,2.7,.447,.447,0.8,1.2,.647,1.0,1.2,2.2,0.4,0.1,0.6,0.4,1.3,3.2,"2nd round (9th pick, 39th overall)",Sacramento Kings,2021 NBA Draft,86,28.0,442,744,3,8,246,381,213,9.0,2.0,63,219,218,228,13.2,.594,.375,.646
878,Immanuel Quickley,G,2021,2022,Kentucky,2018-19,2019-20,https://www.basketball-reference.com/players/q/quickim01.html,142,6,21.4,3.6,9.2,.393,1.8,4.9,.365,1.8,4.3,.426,.491,2.3,2.6,.885,0.4,2.3,2.7,2.8,0.6,0.1,1.1,2.0,11.4,"1st round (25th pick, 25th overall)",Oklahoma City Thunder,2020 NBA Draft,67,25.0,193,479,92,232,197,220,18,2.9,1.5,43,5,81,114,10.1,.403,.397,.895
879,Ivan Rabb,F,2018,2019,California,2015-16,2016-17,https://www.basketball-reference.com/players/r/rabbiv01.html,85,18,14.6,2.4,4.3,.555,0.0,0.2,.200,2.3,4.1,.570,.559,0.9,1.2,.743,1.4,2.8,4.3,1.0,0.3,0.3,0.8,1.7,5.7,"2nd round (5th pick, 35th overall)",Orlando Magic,2017 NBA Draft,65,30.6,312,574,9,22,227,341,188,9.4,1.2,39,73,119,201,13.2,.544,.409,.666
880,Miroslav Raduljica,C,2014,2015,,,,https://www.basketball-reference.com/players/r/radulmi01.html,53,2,9.2,1.3,2.5,.530,0.0,0.0,,1.3,2.5,.530,.530,0.9,1.1,.825,1.1,1.1,2.1,0.4,0.2,0.2,0.6,1.7,3.6,Undrafted,Undrafted,Undrafted,,,,,,,,,,,,,,,,,,,
881,Jahmi'us Ramsey,G,2021,2022,Texas Tech,2019-20,,https://www.basketball-reference.com/players/r/ramseja01.html,32,0,7.1,1.2,3.0,.406,0.3,1.2,.270,0.9,1.8,.492,.458,0.4,0.6,.632,0.2,0.5,0.7,0.4,0.2,0.1,0.3,0.6,3.1,"2nd round (13th pick, 43rd overall)",Sacramento Kings,2020 NBA Draft,27,31.2,148,335,60,141,50,78,20,4.0,2.2,36,18,54,59,15.0,.442,.426,.641
882,Chasson Randle,G,2017,2021,Stanford,2011-12,2014-15,https://www.basketball-reference.com/players/r/randlch01.html,119,7,16.1,1.9,4.7,.401,0.9,2.5,.361,1.0,2.2,.447,.496,1.1,1.3,.799,0.2,1.3,1.4,1.8,0.5,0.1,0.9,1.7,5.7,Undrafted,Undrafted,Undrafted,144,33.3,760,1775,304,787,551,684,75,3.3,2.5,167,11,324,385,16.5,.428,.386,.806
883,Julius Randle,F-C,2015,2022,Kentucky,2013-14,,https://www.basketball-reference.com/players/r/randlju01.html,518,438,31.2,6.5,13.9,.472,0.9,2.6,.332,5.7,11.3,.504,.503,3.8,5.1,.743,2.0,7.3,9.3,3.6,0.7,0.5,2.7,3.1,17.7,"1st round (7th pick, 7th overall)",Los Angeles Lakers,2014 NBA Draft,40,30.8,196,391,3,18,204,289,139,10.4,1.4,20,31,101,91,15.0,.501,.167,.706
884,Xavier Rathan-Mayes,G,2018,2018,Florida State,2014-15,2016-17,https://www.basketball-reference.com/players/r/rathaxa01.html,5,0,23.6,2.4,8.4,.286,0.2,2.8,.071,2.2,5.6,.393,.298,0.8,1.8,.444,0.0,1.0,1.0,3.6,1.2,0.6,2.2,3.6,5.8,Undrafted,Undrafted,Undrafted,100,30.5,430,1014,127,432,249,374,50,3.2,4.5,101,4,256,213,12.4,.424,.294,.666
885,Andy Rautins,G,2011,2011,Syracuse,2005-06,2009-10,https://www.basketball-reference.com/players/r/rautian01.html,5,0,4.8,0.6,1.4,.429,0.2,0.8,.250,0.4,0.6,.667,.500,0.2,0.4,.500,0.0,0.2,0.2,0.6,0.2,0.0,1.4,0.0,1.6,"2nd round (8th pick, 38th overall)",New York Knicks,2010 NBA Draft,127,32.5,360,908,282,754,119,156,18,2.6,2.7,172,22,171,76,8.8,.396,.374,.763
886,Austin Reaves,G,2022,2022,"Wichita State, Oklahoma",2016-17,2020-21,https://www.basketball-reference.com/players/r/reaveau01.html,61,19,23.2,2.4,5.2,.459,0.9,2.7,.317,1.5,2.5,.616,.542,1.6,1.9,.839,0.7,2.4,3.2,1.8,0.5,0.3,0.7,1.4,7.3,Undrafted,Undrafted,Undrafted,122,24.5,400,950,156,449,358,424,64,3.8,2.6,81,34,208,179,10.8,.421,.347,.844
887,Josh Reaves,G,2020,2020,Penn State,2015-16,2018-19,https://www.basketball-reference.com/players/r/reavejo02.html,4,0,7.0,0.8,2.3,.333,0.0,0.5,.000,0.8,1.8,.429,.333,0.5,0.5,1.000,0.3,0.5,0.8,0.8,0.0,0.0,0.0,1.3,2.0,Undrafted,Undrafted,Undrafted,121,28.8,406,926,109,336,158,225,180,4.5,2.6,250,92,217,355,8.9,.438,.324,.702
888,Cam Reddish,F,2020,2022,Duke,2018-19,,https://www.basketball-reference.com/players/r/reddica01.html,133,62,24.9,3.6,9.2,.387,1.4,4.2,.325,2.2,5.0,.439,.461,2.0,2.4,.841,0.6,2.6,3.2,1.3,1.1,0.4,1.4,2.0,10.5,"1st round (10th pick, 10th overall)",Atlanta Hawks,2019 NBA Draft,36,29.7,154,432,89,267,88,114,20,3.7,1.9,56,21,96,86,13.5,.356,.333,.772
889,Davon Reed,G,2018,2022,Miami (FL),2013-14,2016-17,https://www.basketball-reference.com/players/r/reedda01.html,79,6,12.1,1.4,3.2,.434,0.6,1.6,.391,0.7,1.5,.479,.534,0.2,0.3,.667,0.2,1.7,1.9,0.9,0.4,0.1,0.3,1.1,3.6,"2nd round (2nd pick, 32nd overall)",Phoenix Suns,2017 NBA Draft,131,28.1,438,1018,202,512,265,340,86,3.6,1.6,113,48,187,247,10.3,.430,.395,.779
890,Paul Reed,F,2021,2022,DePaul,2017-18,2019-20,https://www.basketball-reference.com/players/r/reedpa01.html,64,2,7.5,1.5,2.7,.552,0.0,0.2,.143,1.5,2.5,.588,.557,0.2,0.3,.455,1.2,1.2,2.4,0.4,0.7,0.4,0.3,1.3,3.2,"2nd round (28th pick, 58th overall)",Philadelphia 76ers,2020 NBA Draft,93,23.2,401,749,34,103,147,199,220,7.5,1.0,109,142,145,227,10.6,.535,.330,.739
891,Willie Reed,F-C,2016,2018,Saint Louis,2008-09,2009-10,https://www.basketball-reference.com/players/r/reedwi02.html,152,12,12.4,2.1,3.5,.592,0.0,0.0,.333,2.1,3.5,.595,.594,0.7,1.3,.561,1.4,2.4,3.8,0.3,0.2,0.7,0.4,1.6,4.9,Undrafted,Undrafted,Undrafted,67,24.7,273,476,0,0,136,272,83,6.3,0.5,33,113,97,79,10.2,.574,,.500
892,Naz Reid,F,2020,2022,LSU,2018-19,,https://www.basketball-reference.com/players/r/reidna01.html,177,32,17.3,3.6,7.3,.490,0.8,2.5,.343,2.8,4.9,.564,.548,1.5,2.1,.723,1.2,3.0,4.2,1.0,0.5,1.0,1.0,2.5,9.5,Undrafted,Undrafted,Undrafted,34,27.2,171,365,28,84,93,128,86,7.2,0.9,25,23,85,108,13.6,.468,.333,.727
893,Ryan Reid,F,2012,2012,Florida State,2006-07,2009-10,https://www.basketball-reference.com/players/r/reidry01.html,5,0,3.4,0.8,1.0,.800,0.0,0.0,,0.8,1.0,.800,.800,0.0,0.0,,0.2,0.2,0.4,0.0,0.0,0.0,0.2,0.2,1.6,"2nd round (27th pick, 57th overall)",Indiana Pacers,2010 NBA Draft,126,20.2,236,477,1,1,151,250,213,3.9,0.7,68,71,206,244,5.0,.495,1.000,.604
894,Cameron Reynolds,G,2019,2021,Tulane,2013-14,2017-18,https://www.basketball-reference.com/players/r/reynoca01.html,24,0,12.5,1.6,4.0,.406,1.0,2.6,.381,0.6,1.4,.455,.531,0.3,0.4,.889,0.3,1.3,1.5,0.6,0.3,0.1,0.2,1.2,4.6,Undrafted,Undrafted,Undrafted,135,26.3,489,1262,193,577,199,278,127,4.5,1.2,82,45,163,294,10.1,.387,.334,.716
895,Glen Rice Jr.,G,2014,2015,Georgia Tech,2009-10,2011-12,https://www.basketball-reference.com/players/r/ricegl02.html,16,1,9.5,0.9,3.3,.269,0.4,1.5,.250,0.5,1.8,.286,.327,0.6,0.8,.692,0.4,1.1,1.5,0.6,0.4,0.1,0.7,1.1,2.7,"2nd round (5th pick, 35th overall)",Philadelphia 76ers,2013 NBA Draft,87,24.8,316,727,100,289,129,211,143,4.8,2.1,111,47,162,194,9.9,.435,.346,.611
896,Nick Richards,F-C,2021,2022,Kentucky,2017-18,2019-20,https://www.basketball-reference.com/players/r/richani01.html,68,5,6.3,0.9,1.5,.646,0.0,0.0,.000,0.9,1.4,.653,.646,0.5,0.8,.685,0.6,0.9,1.4,0.2,0.1,0.3,0.4,0.9,2.4,"2nd round (12th pick, 42nd overall)",New Orleans Pelicans,2020 NBA Draft,105,18.2,281,448,0,0,209,287,193,5.0,0.2,10,146,101,250,7.3,.627,,.728
897,Josh Richardson,G,2016,2022,Tennessee,2011-12,2014-15,https://www.basketball-reference.com/players/r/richajo01.html,438,306,29.8,4.4,10.3,.428,1.6,4.3,.365,2.8,5.9,.474,.505,1.7,2.0,.839,0.7,2.4,3.1,2.7,1.1,0.6,1.4,2.3,12.0,"2nd round (10th pick, 40th overall)",Miami Heat,2015 NBA Draft,136,28.3,458,1005,98,308,238,314,116,3.2,1.8,147,88,209,301,9.2,.456,.318,.758
898,Malachi Richardson,G,2017,2019,Syracuse,2015-16,,https://www.basketball-reference.com/players/r/richama01.html,70,4,8.9,1.0,2.7,.358,0.4,1.3,.301,0.6,1.3,.415,.433,0.5,0.7,.783,0.1,0.9,1.0,0.3,0.2,0.0,0.4,0.9,2.8,"1st round (22nd pick, 22nd overall)",Charlotte Hornets,2016 NBA Draft,37,34.4,152,412,79,224,113,157,19,4.3,2.1,42,10,79,91,13.4,.369,.353,.720
899,Grant Riller,G,2021,2021,College of Charleston,2016-17,2019-20,https://www.basketball-reference.com/players/r/rillegr01.html,7,0,3.9,1.1,1.7,.667,0.3,0.6,.500,0.9,1.1,.750,.750,0.0,0.0,,0.0,0.1,0.1,0.4,0.1,0.0,0.1,0.0,2.6,"2nd round (26th pick, 56th overall)",Charlotte Hornets,2020 NBA Draft,132,32.3,880,1695,187,526,527,662,61,3.3,2.8,165,33,287,255,18.7,.519,.356,.796
900,Austin Rivers,G,2013,2022,Duke,2011-12,,https://www.basketball-reference.com/players/r/riverau01.html,655,174,24.2,3.2,7.8,.418,1.1,3.3,.349,2.1,4.5,.468,.491,1.1,1.8,.649,0.3,1.7,2.1,2.2,0.7,0.2,1.1,2.1,8.8,"1st round (10th pick, 10th overall)",New Orleans Hornets,2012 NBA Draft,34,33.2,174,402,58,159,121,184,21,3.4,2.1,33,1,79,76,15.5,.433,.365,.658
901,Andre Roberson,G-F,2014,2021,Colorado,2010-11,2012-13,https://www.basketball-reference.com/players/r/roberan03.html,307,269,22.2,1.9,3.9,.473,0.4,1.4,.253,1.5,2.5,.600,.519,0.4,0.9,.468,1.2,2.8,4.0,0.9,0.9,0.6,0.6,2.1,4.5,"1st round (26th pick, 26th overall)",Minnesota Timberwolves,2013 NBA Draft,105,28.3,382,741,50,143,198,340,309,10.0,1.1,164,150,183,274,9.6,.516,.350,.582
902,Brian Roberts,G,2013,2017,Dayton,2004-05,2007-08,https://www.basketball-reference.com/players/r/roberbr01.html,314,59,16.6,2.4,5.8,.411,0.7,1.9,.356,1.7,3.9,.439,.471,1.1,1.2,.908,0.2,1.2,1.3,2.3,0.4,0.1,0.9,1.2,6.6,Undrafted,Undrafted,Undrafted,125,,652,1442,293,665,365,430,,3.0,2.8,63,13,94,,15.7,.452,.441,.849
903,Devin Robinson,F,2018,2019,Florida,2014-15,2016-17,https://www.basketball-reference.com/players/r/robinde01.html,8,0,13.5,2.5,4.4,.571,0.0,0.3,.000,2.5,4.1,.606,.571,1.1,1.8,.643,1.0,2.1,3.1,0.8,0.6,0.8,0.3,1.6,6.1,Undrafted,Undrafted,Undrafted,105,23.0,334,742,100,298,167,234,151,4.9,0.6,66,63,99,225,8.9,.450,.336,.714
904,Duncan Robinson,G-F,2019,2022,"Williams, Michigan",2015-16,2017-18,https://www.basketball-reference.com/players/r/robindu01.html,239,209,27.7,4.0,9.1,.435,3.2,7.9,.406,0.8,1.2,.617,.610,0.8,0.9,.860,0.2,2.8,2.9,1.5,0.5,0.2,0.9,2.5,11.9,Undrafted,Undrafted,Undrafted,115,24.9,357,785,237,565,121,140,52,2.5,1.2,65,33,80,250,9.3,.455,.419,.864
905,Glenn Robinson III,G-F,2015,2021,Michigan,2012-13,2013-14,https://www.basketball-reference.com/players/r/robingl02.html,304,105,17.4,2.3,5.0,.457,0.6,1.7,.373,1.6,3.3,.501,.521,0.8,1.0,.779,0.7,1.9,2.6,0.8,0.5,0.2,0.5,0.9,5.9,"2nd round (10th pick, 40th overall)",Minnesota Timberwolves,2014 NBA Draft,76,33.0,349,665,56,179,158,220,137,4.9,1.1,74,21,78,99,12.0,.525,.313,.718
906,Jerome Robinson,G,2019,2021,Boston College,2015-16,2017-18,https://www.basketball-reference.com/players/r/robinje01.html,113,12,14.2,1.7,4.6,.363,0.7,2.2,.310,1.0,2.3,.414,.439,0.5,0.8,.721,0.2,1.7,1.8,1.2,0.5,0.2,0.7,1.7,4.5,"1st round (13th pick, 13th overall)",Los Angeles Clippers,2018 NBA Draft,90,34.6,562,1249,159,423,308,408,46,3.8,3.3,117,24,259,226,17.7,.450,.376,.755
907,Justin Robinson,G,2020,2022,Virginia Tech,2015-16,2018-19,https://www.basketball-reference.com/players/r/robinju01.html,43,0,10.3,0.9,2.9,.317,0.6,1.9,.313,0.3,1.1,.326,.417,0.2,0.3,.538,0.1,0.6,0.8,1.1,0.3,0.0,0.5,0.9,2.6,Undrafted,Undrafted,Undrafted,125,28.6,422,949,151,392,388,502,65,2.7,4.5,125,14,287,260,11.1,.445,.385,.773
908,Mitchell Robinson,C,2019,2022,Western Kentucky,,,https://www.basketball-reference.com/players/r/robinmi01.html,230,117,23.8,3.6,5.0,.722,0.0,0.0,,3.6,5.0,.722,.722,1.2,2.2,.540,3.4,4.1,7.5,0.6,0.9,2.0,0.7,3.0,8.4,"2nd round (6th pick, 36th overall)",New York Knicks,2018 NBA Draft,,,,,,,,,,,,,,,,,,,
909,Thomas Robinson,F,2013,2017,Kansas,2009-10,2011-12,https://www.basketball-reference.com/players/r/robinth01.html,313,12,13.4,2.0,4.3,.470,0.0,0.0,.000,2.0,4.3,.472,.470,0.8,1.6,.505,1.7,3.1,4.8,0.6,0.5,0.4,1.0,1.7,4.9,"1st round (5th pick, 5th overall)",Sacramento Kings,2012 NBA Draft,105,18.7,395,753,7,14,229,378,221,7.3,1.0,63,74,173,217,9.8,.525,.500,.606
910,Jeremiah Robinson-Earl,F,2022,2022,Villanova,2019-20,2020-21,https://www.basketball-reference.com/players/r/robinje02.html,49,36,22.2,2.7,6.6,.414,1.2,3.4,.352,1.6,3.2,.478,.503,0.8,1.1,.741,1.5,4.1,5.6,1.0,0.6,0.3,0.8,1.5,7.5,"2nd round (2nd pick, 32nd overall)",New York Knicks,2021 NBA Draft,56,33.5,268,561,44,146,139,181,141,9.0,2.1,59,33,108,127,12.8,.478,.301,.768
911,Isaiah Roby,F,2020,2022,Nebraska,2016-17,2018-19,https://www.basketball-reference.com/players/r/robyis01.html,109,62,21.9,3.4,6.9,.495,0.7,1.9,.365,2.7,5.0,.545,.546,1.5,2.1,.708,1.5,3.6,5.1,1.6,0.8,0.7,1.4,2.5,9.1,"2nd round (15th pick, 45th overall)",Detroit Pistons,2019 NBA Draft,97,23.9,280,588,49,146,177,252,155,5.5,1.5,80,154,154,273,8.1,.476,.336,.702
912,Terrence Ross,F-G,2013,2022,Washington,2010-11,2011-12,https://www.basketball-reference.com/players/r/rosste01.html,670,178,24.8,4.1,9.8,.417,1.8,5.1,.361,2.2,4.7,.478,.511,1.2,1.4,.839,0.3,2.5,2.8,1.3,0.8,0.3,1.0,1.7,11.2,"1st round (8th pick, 8th overall)",Toronto Raptors,2012 NBA Draft,69,24.4,317,700,116,319,97,127,77,4.7,1.2,63,45,94,168,12.3,.453,.364,.764
913,Terry Rozier,G,2016,2022,Louisville,2013-14,2014-15,https://www.basketball-reference.com/players/r/roziete01.html,477,235,26.1,4.6,11.0,.417,2.0,5.3,.376,2.6,5.6,.456,.508,1.5,1.9,.822,0.7,3.3,3.9,3.2,0.9,0.2,1.2,1.4,12.7,"1st round (16th pick, 16th overall)",Boston Celtics,2015 NBA Draft,73,26.8,307,753,84,254,176,228,71,4.3,2.4,110,8,101,116,12.0,.408,.331,.772
914,Ricky Rubio,G,2012,2022,,,,https://www.basketball-reference.com/players/r/rubiori01.html,665,601,30.3,3.6,9.3,.389,0.9,2.8,.326,2.7,6.5,.417,.439,3.0,3.5,.843,0.6,3.5,4.2,7.6,1.8,0.1,2.6,2.5,11.1,"1st round (5th pick, 5th overall)",Minnesota Timberwolves,2009 NBA Draft,,,,,,,,,,,,,,,,,,,
915,Damjan Rudež,F,2015,2017,,,,https://www.basketball-reference.com/players/r/rudezda01.html,146,2,11.2,1.2,2.8,.424,0.7,1.9,.373,0.5,0.9,.535,.552,0.2,0.2,.774,0.1,0.5,0.6,0.6,0.2,0.0,0.5,1.0,3.3,Undrafted,Undrafted,Undrafted,,,,,,,,,,,,,,,,,,,
916,D'Angelo Russell,G,2016,2022,Ohio State,2014-15,,https://www.basketball-reference.com/players/r/russeda01.html,424,360,29.4,6.4,15.3,.420,2.5,6.9,.356,4.0,8.4,.472,.500,2.4,3.1,.781,0.5,3.0,3.5,5.6,1.1,0.3,2.8,1.9,17.7,"1st round (2nd pick, 2nd overall)",Los Angeles Lakers,2015 NBA Draft,35,33.9,231,515,95,231,118,156,35,5.7,5.0,55,11,102,74,19.3,.449,.411,.756
917,Walker Russell,G,2012,2012,Jacksonville State University,2003-04,2005-06,https://www.basketball-reference.com/players/r/russewa02.html,28,0,12.8,1.2,3.4,.347,0.1,0.5,.308,1.0,2.9,.354,.368,0.5,0.8,.636,0.3,0.7,0.9,2.1,0.6,0.0,1.2,1.0,3.0,Undrafted,Undrafted,Undrafted,86,,370,834,85,226,357,424,,3.5,6.9,160,9,,,13.7,.444,.376,.842
918,Matt Ryan,F,2022,2022,"Notre Dame, Vanderbilt, Chattanooga",2015-16,2019-20,https://www.basketball-reference.com/players/r/ryanma01.html,1,0,5.0,1.0,5.0,.200,1.0,5.0,.200,0.0,0.0,,.300,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,Undrafted,Undrafted,Undrafted,134,18.9,345,854,229,631,139,165,43,2.5,0.9,39,11,110,217,7.9,.404,.363,.842
919,Domantas Sabonis,F-C,2017,2022,Gonzaga,2014-15,2015-16,https://www.basketball-reference.com/players/s/sabondo01.html,415,275,28.4,5.6,10.5,.534,0.4,1.4,.319,5.2,9.2,.566,.554,2.7,3.7,.728,2.3,6.9,9.2,3.6,0.7,0.4,2.3,3.0,14.4,"1st round (11th pick, 11th overall)",Orlando Magic,2016 NBA Draft,74,26.6,384,608,5,14,229,314,192,9.4,1.3,39,43,151,219,13.5,.632,.357,.729
920,Robert Sacre,C,2013,2016,Gonzaga,2007-08,2011-12,https://www.basketball-reference.com/players/s/sacrero01.html,189,35,14.5,1.7,3.9,.436,0.0,0.0,.000,1.7,3.9,.437,.436,0.8,1.2,.671,1.1,2.0,3.1,0.7,0.3,0.6,0.5,1.8,4.2,"2nd round (30th pick, 60th overall)",Los Angeles Lakers,2012 NBA Draft,136,25.8,409,812,1,4,451,614,216,5.0,0.7,70,186,220,264,9.3,.504,.250,.735
921,Luka Šamanić,F,2020,2021,,,,https://www.basketball-reference.com/players/s/samanlu01.html,36,5,9.9,1.4,3.4,.430,0.4,1.4,.294,1.0,1.9,.529,.492,0.5,0.9,.576,0.5,1.7,2.2,0.6,0.2,0.3,0.6,1.4,3.8,"1st round (19th pick, 19th overall)",San Antonio Spurs,2019 NBA Draft,,,,,,,,,,,,,,,,,,,
922,Brandon Sampson,G,2019,2019,LSU,2015-16,2017-18,https://www.basketball-reference.com/players/s/sampsbr01.html,14,2,15.3,2.0,4.3,.467,0.8,2.1,.379,1.2,2.2,.548,.558,0.3,0.4,.667,0.2,0.9,1.1,0.7,0.6,0.2,0.9,1.4,5.1,Undrafted,Undrafted,Undrafted,85,20.2,226,511,85,262,137,184,46,2.3,1.0,52,19,107,117,7.9,.442,.324,.745
923,JaKarr Sampson,G-F,2015,2021,St. John's,2012-13,2013-14,https://www.basketball-reference.com/players/s/sampsja02.html,236,94,15.0,2.0,4.3,.471,0.3,1.0,.248,1.8,3.3,.540,.500,0.9,1.3,.670,0.7,2.0,2.7,0.7,0.4,0.5,0.8,1.9,5.2,Undrafted,Undrafted,Undrafted,66,30.3,383,816,1,13,148,244,140,6.4,1.1,57,68,118,183,13.9,.469,.077,.607
924,Samardo Samuels,F,2011,2013,Louisville,2008-09,2009-10,https://www.basketball-reference.com/players/s/samuesa01.html,109,11,15.8,2.2,4.9,.445,0.0,0.0,.000,2.2,4.8,.449,.445,1.5,2.3,.653,1.4,2.0,3.4,0.4,0.3,0.4,1.1,2.1,5.9,Undrafted,Undrafted,Undrafted,70,29.3,339,618,0,1,264,383,106,5.9,1.1,42,86,161,87,13.5,.549,.000,.689
925,Larry Sanders,C-F,2011,2017,VCU,2007-08,2009-10,https://www.basketball-reference.com/players/s/sandela01.html,238,113,19.5,2.8,5.9,.480,0.0,0.0,.000,2.8,5.8,.481,.480,0.8,1.4,.553,2.0,3.7,5.7,0.7,0.6,1.8,0.9,2.8,6.4,"1st round (15th pick, 15th overall)",Milwaukee Bucks,2010 NBA Draft,101,26.9,415,798,4,16,210,364,106,7.7,0.5,59,277,155,103,10.3,.520,.250,.577
926,Dario Šarić,F-C,2017,2021,,,,https://www.basketball-reference.com/players/s/saricda01.html,356,205,25.2,4.2,9.5,.441,1.4,4.0,.357,2.8,5.5,.503,.517,1.9,2.3,.838,1.5,4.3,5.9,2.0,0.6,0.2,1.6,2.1,11.7,"1st round (12th pick, 12th overall)",Orlando Magic,2014 NBA Draft,,,,,,,,,,,,,,,,,,,
927,Olivier Sarr,C,2022,2022,"Wake Forest, Kentucky",2017-18,2020-21,https://www.basketball-reference.com/players/s/sarrol01.html,22,2,19.1,2.6,4.6,.574,0.6,1.3,.448,2.0,3.3,.625,.639,1.1,1.3,.828,1.5,2.7,4.2,0.9,0.3,0.7,1.0,2.4,7.0,Undrafted,Undrafted,Undrafted,110,22.0,316,664,23,74,279,377,220,5.7,0.8,42,111,167,319,8.5,.476,.311,.740
928,Tomáš Satoranský,G,2017,2022,,,,https://www.basketball-reference.com/players/s/satorto01.html,388,182,22.2,2.6,5.5,.468,0.6,1.7,.354,2.0,3.8,.520,.523,1.1,1.4,.820,0.8,2.1,2.9,4.1,0.8,0.2,1.3,1.7,6.9,"2nd round (2nd pick, 32nd overall)",Washington Wizards,2012 NBA Draft,,,,,,,,,,,,,,,,,,,
