index,name,position,active_from,active_to,college,college_start_year,college_end_year,url,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,draft_pick,draft_team,draft_year,C-G,C-MP,C-FG,C-FGA,C-3P,C-3PA,C-FT,C-FTA,C-ORB,C-TRB,C-AST,C-STL,C-BLK,C-TOV,C-PF,C-PTS,C-FG%,C-3P%,C-FT%
369,Mickell Gladness,C,2012,2012,Alabama A&M University,2005-06,2007-08,https://www.basketball-reference.com/players/g/gladnmi01.html,26,7,9.7,1.0,2.3,.424,0.0,0.0,,1.0,2.3,.424,.424,0.2,0.5,.500,0.5,1.7,2.2,0.2,0.2,0.8,0.3,1.2,2.2,Undrafted,Undrafted,Undrafted,85,,219,495,0,3,182,273,,7.0,0.5,53,396,59,,7.3,.442,.000,.667
370,Rudy Gobert,C,2014,2022,,,,https://www.basketball-reference.com/players/g/goberru01.html,611,519,30.0,4.6,7.0,.653,0.0,0.0,.000,4.6,7.0,.655,.653,3.3,5.1,.638,3.3,8.3,11.7,1.3,0.7,2.2,1.6,2.6,12.4,"1st round (27th pick, 27th overall)",Denver Nuggets,2013 NBA Draft,,,,,,,,,,,,,,,,,,,
371,Archie Goodwin,G,2014,2017,Kentucky,2012-13,,https://www.basketball-reference.com/players/g/goodwar01.html,165,15,14.5,2.2,5.2,.429,0.3,1.2,.236,2.0,4.0,.484,.455,1.6,2.3,.700,0.5,1.5,2.0,1.2,0.4,0.2,1.2,1.2,6.3,"1st round (29th pick, 29th overall)",Oklahoma City Thunder,2013 NBA Draft,33,31.8,157,357,17,64,135,212,48,4.6,2.7,36,15,101,97,14.1,.440,.266,.637
372,Brandon Goodwin,G,2019,2022,"Central Florida, Florida Gulf Coast",2013-14,2014-15,https://www.basketball-reference.com/players/g/goodwbr01.html,133,11,12.1,1.7,4.4,.390,0.6,1.9,.315,1.1,2.5,.445,.457,0.7,0.9,.730,0.3,1.3,1.6,1.9,0.4,0.0,0.8,1.0,4.7,Undrafted,Undrafted,Undrafted,58,24.6,133,310,21,83,103,171,50,2.9,3.0,50,5,118,88,6.7,.429,.253,.602
373,Jordan Goodwin,G,2022,2022,Saint Louis,2017-18,2020-21,https://www.basketball-reference.com/players/g/goodwjo01.html,2,0,3.0,0.0,1.5,.000,0.0,0.5,.000,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,Undrafted,Undrafted,Undrafted,114,34.3,553,1306,86,317,268,462,353,8.8,3.5,225,38,298,291,12.8,.423,.271,.580
374,Aaron Gordon,F,2015,2022,Arizona,2013-14,,https://www.basketball-reference.com/players/g/gordoaa01.html,528,439,28.9,4.9,10.7,.460,1.1,3.4,.323,3.8,7.3,.525,.512,2.1,2.9,.702,1.6,4.7,6.3,2.5,0.7,0.6,1.5,2.0,13.0,"1st round (4th pick, 4th overall)",Orlando Magic,2014 NBA Draft,38,31.2,189,382,16,45,76,180,102,8.0,2.0,34,39,55,90,12.4,.495,.356,.422
375,Drew Gordon,F,2015,2015,"UCLA, New Mexico",2008-09,2011-12,https://www.basketball-reference.com/players/g/gordodr01.html,9,0,7.9,0.9,2.1,.421,0.0,0.3,.000,0.9,1.8,.500,.421,0.1,0.2,.500,0.8,1.2,2.0,0.2,0.1,0.0,0.9,0.8,1.9,Undrafted,Undrafted,Undrafted,101,29.2,407,752,2,4,191,277,213,8.0,0.7,74,96,173,185,10.0,.541,.500,.690
376,Andrew Goudelock,G,2012,2016,College of Charleston,2007-08,2010-11,https://www.basketball-reference.com/players/g/goudean01.html,49,0,9.7,1.6,4.0,.393,0.6,1.7,.345,1.0,2.3,.429,.467,0.3,0.3,.875,0.1,0.6,0.7,0.5,0.2,0.0,0.6,0.7,4.0,"2nd round (16th pick, 46th overall)",Los Angeles Lakers,2011 NBA Draft,140,35.4,956,2092,396,958,263,314,50,3.3,3.0,130,37,311,124,18.4,.457,.413,.838
377,Devonte' Graham,G,2019,2022,Kansas,2014-15,2017-18,https://www.basketball-reference.com/players/g/grahade01.html,240,163,28.0,4.1,11.1,.372,2.6,7.3,.357,1.5,3.8,.400,.489,2.0,2.4,.827,0.5,2.0,2.5,5.0,0.9,0.1,1.7,1.4,12.8,"2nd round (4th pick, 34th overall)",Atlanta Hawks,2018 NBA Draft,142,31.7,546,1295,296,723,362,460,62,3.1,4.5,197,14,270,237,12.3,.422,.409,.787
378,Treveon Graham,G,2017,2020,VCU,2011-12,2014-15,https://www.basketball-reference.com/players/g/grahatr01.html,180,44,16.0,1.5,3.9,.383,0.7,2.0,.333,0.8,1.9,.437,.470,0.6,0.8,.691,0.7,1.6,2.2,0.8,0.4,0.1,0.4,1.7,4.2,Undrafted,Undrafted,Undrafted,140,25.4,618,1431,200,565,446,645,293,5.8,1.4,111,29,191,299,13.4,.432,.354,.691
